District Name,Modal Price (Rs./Quintal),Rainfall,Date,Year,Month,Fertilizer,Petrol Price,Lag_Price,Rolling_Rainfall
3,1200,0.714285714,08-01-2023,2023,1,20086.58,104.9,1200,181.0142857
7,2000,0,08-01-2023,2023,1,20086.58,104.9,2000,30.24166667
21,1400,0,08-01-2023,2023,1,20086.58,104.9,1300,133.0388889
14,2000,0.161538462,08-01-2023,2023,1,20086.58,104.9,2000,0.107692308
20,2000,0,08-01-2023,2023,1,20086.58,104.9,2000,76.29333333
14,1150,0.161538462,08-01-2023,2023,1,20086.58,104.9,650,0.161538462
8,1300,0,08-01-2023,2023,1,20086.58,104.9,1200,197.7924242
10,720,0,08-01-2023,2023,1,20086.58,104.9,700,0
3,1300,0.714285714,08-01-2023,2023,1,20086.58,104.9,1300,159.5904762
6,2000,0,09-01-2021,2021,1,13155.95,84.34,2000,90.4
0,2800,0,09-01-2021,2021,1,13155.95,84.34,2800,0
12,3000,0,09-01-2021,2021,1,13155.95,84.34,2500,19.67692308
8,2100,2.209090909,09-01-2021,2021,1,13155.95,84.34,1500,86.93666667
13,2000,0,09-01-2021,2021,1,13155.95,84.34,1500,63.81481481
13,2200,0,09-01-2021,2021,1,13155.95,84.34,1900,0
13,2200,0,09-01-2021,2021,1,13155.95,84.34,2000,0
13,2000,0,09-01-2021,2021,1,13155.95,84.34,1600,79.81481481
13,2200,0,09-01-2021,2021,1,13155.95,84.34,1850,145.4074074
20,2000,0,09-01-2021,2021,1,13155.95,84.34,2000,27.36
3,1660,0,09-01-2021,2021,1,13155.95,84.34,1400,18.25714286
2,2300,1.75,09-01-2021,2021,1,13155.95,84.34,2300,2.108333333
5,2500,0,09-01-2021,2021,1,13155.95,84.34,2500,38.46666667
20,2000,0,09-01-2021,2021,1,13155.95,84.34,1500,0
13,1900,0,09-01-2021,2021,1,13155.95,84.34,1600,117.4074074
13,2200,0,09-01-2021,2021,1,13155.95,84.34,1900,0
13,2000,0,09-01-2021,2021,1,13155.95,84.34,1500,38.7037037
14,2000,0.592307692,09-01-2021,2021,1,13155.95,84.34,2000,18.71282051
7,2400,0,09-01-2021,2021,1,13155.95,84.34,2400,47.42083333
7,2000,0,09-01-2021,2021,1,13155.95,84.34,2000,166.5875
14,2000,0.592307692,09-01-2021,2021,1,13155.95,84.34,2000,265.9205128
3,1700,0,09-01-2021,2021,1,13155.95,84.34,1500,96.63809524
1,1350,0,09-01-2021,2021,1,13155.95,84.34,1350,51.5
0,3000,0,09-01-2021,2021,1,13155.95,84.34,3000,0
8,2000,2.209090909,09-01-2021,2021,1,13155.95,84.34,2000,113.4954545
9,3200,0,09-01-2021,2021,1,13155.95,84.34,2100,275.875
13,2000,0,09-01-2021,2021,1,13155.95,84.34,1700,68.74074074
1,950,0,09-01-2023,2023,1,20086.58,104.9,750,0
23,1400,0,09-01-2023,2023,1,20086.58,104.9,1350,37.9
8,1500,0,09-01-2023,2023,1,20086.58,104.9,1400,29.93636364
3,1200,0.714285714,09-01-2023,2023,1,20086.58,104.9,1200,286.7809524
3,1200,0.714285714,09-01-2023,2023,1,20086.58,104.9,1100,8.071428571
8,1200,0,09-01-2023,2023,1,20086.58,104.9,1200,0.309090909
2,1500,0,09-01-2023,2023,1,20086.58,104.9,1500,103.6833333
7,1400,0,09-01-2023,2023,1,20086.58,104.9,1400,0
14,1150,0.161538462,09-01-2023,2023,1,20086.58,104.9,1100,0.107692308
