District Name,Modal Price (Rs./Quintal),Rainfall,Date,Year,Month,Fertilizer,Petrol Price,Day,Weekday,Quarter,Fertilizer_Rainfall_Interaction,Lag_Price,Monthly_Avg_Price,Rolling_Rainfall
6,1500,56.23076923076924,2021-11-28,2021,11,16768.55,110.69,28,6,4,942908.4653846155,1500.0,2020.0,243.62307692307704
6,2000,93.30769230769232,2021-10-25,2021,10,16386.48,102.76,25,0,4,1528984.633846154,1500.0,1900.0,138.14102564102566
6,2200,56.23076923076924,2021-11-15,2021,11,16768.55,110.69,15,0,4,942908.4653846155,2000.0,2020.0,138.14102564102566
6,2400,56.23076923076924,2021-11-11,2021,11,16768.55,110.69,11,3,4,942908.4653846155,2200.0,2020.0,68.5897435897436
2,800,209.05,2021-06-04,2021,6,15319.2,95.22,4,4,2,3202478.7600000002,2400.0,1136.6666666666667,107.17051282051284
2,1000,44.5,2021-10-07,2021,10,16386.48,102.76,7,3,4,729198.36,900.0,1927.2727272727273,124.24166666666663
2,1000,5.399999999999999,2022-04-08,2022,4,22000.0,108.65,8,4,2,118799.99999999997,1000.0,1365.7142857142858,124.33611111111107
2,1000,209.05,2021-06-18,2021,6,15319.2,95.22,18,4,2,3202478.7600000002,1000.0,1136.6666666666667,86.31666666666665
2,1300,70.69999999999999,2021-05-09,2021,5,15295.14,91.12,9,6,2,1081366.3979999998,1000.0,1112.9032258064517,141.46111111111108
2,1300,209.05,2021-06-22,2021,6,15319.2,95.22,22,1,2,3202478.7600000002,1300.0,1136.6666666666667,141.46111111111108
2,1300,2.483333333333333,2021-04-25,2021,4,14823.51,91.28,25,6,2,36811.716499999995,1300.0,1287.179487179487,94.07777777777774
2,1300,77.76666666666667,2021-12-29,2021,12,17436.76,101.81,29,2,4,1355998.7026666666,1300.0,2180.0,96.43333333333332
2,1400,32.71666666666667,2023-05-23,2023,5,20000.0,101.88,23,1,2,654333.3333333334,1300.0,1556.25,37.65555555555554
2,1500,156.55,2022-09-18,2022,9,20000.0,103.01,18,6,3,3131000.0,1500.0,2210.9375,159.88611111111106
2,1500,44.43333333333334,2023-04-29,2023,4,20000.0,103.01,29,5,2,888666.6666666667,1500.0,1725.7575757575758,115.20555555555552
2,1600,252.875,2023-06-06,2023,6,20000.0,100.89,6,1,2,5057500.0,1600.0,1831.7460317460318,109.80555555555554
2,1600,252.875,2023-06-14,2023,6,20000.0,100.89,14,2,2,5057500.0,1600.0,1831.7460317460318,306.81388888888887
2,1700,58.17499999999999,2023-03-09,2023,3,20000.0,103.35,9,3,1,1163499.9999999998,1700.0,1908.5714285714287,261.8833333333333
2,1800,334.1916666666667,2023-09-20,2023,9,20000.0,103.43,20,2,3,6683833.333333334,1800.0,1968.75,113.19722222222221
0,1000,4.4,2021-03-29,2021,3,13603.08,91.9,29,0,1,59853.552,1800.0,1011.4754098360655,112.86388888888888
0,1000,4.4,2021-03-30,2021,3,13603.08,91.9,30,1,1,59853.552,1000.0,1011.4754098360655,114.33055555555556
0,1800,0.0,2023-01-10,2023,1,20086.58,104.9,10,1,1,0.0,1000.0,1890.0,2.9333333333333145
0,1500,409.2,2021-09-14,2021,9,16213.6,102.18,14,1,3,6634605.12,1800.0,1492.5925925925926,137.86666666666665
0,1800,0.0,2022-11-30,2022,11,20393.6,104.06,30,2,4,0.0,1500.0,2271.4285714285716,136.39999999999998
0,1800,35.7625,2021-11-01,2021,11,16768.55,110.69,1,0,4,599685.269375,1800.0,1964.1509433962265,148.3208333333333
0,1800,46.6375,2021-10-27,2021,10,16386.48,102.76,27,2,4,764224.461,1800.0,1853.061224489796,27.46666666666665
0,1800,160.4125,2021-05-19,2021,5,15295.14,91.12,19,2,2,2453531.6452499996,1800.0,1849.122807017544,80.94166666666665
0,2000,46.6375,2021-10-06,2021,10,16386.48,102.76,6,2,4,764224.461,2000.0,1853.061224489796,80.94166666666665
0,2000,35.7625,2021-11-09,2021,11,16768.55,110.69,9,1,4,599685.269375,2000.0,1964.1509433962265,39.39166666666666
0,2000,39.77500000000001,2021-12-16,2021,12,17436.76,101.81,16,3,4,693547.1290000002,2000.0,1895.4545454545455,40.724999999999994
0,2000,145.675,2021-06-08,2021,6,15319.2,95.22,8,1,2,2231624.4600000004,2000.0,1946.6666666666667,145.95000000000005
0,2000,46.6375,2021-10-10,2021,10,16386.48,102.76,10,6,4,764224.461,2000.0,1853.061224489796,148.23750000000004
0,2000,46.6375,2021-10-17,2021,10,16386.48,102.76,17,6,4,764224.461,2000.0,1853.061224489796,79.64999999999999
0,2000,46.6375,2021-10-23,2021,10,16386.48,102.76,23,5,4,764224.461,2000.0,1853.061224489796,46.6375
0,2000,145.675,2021-06-27,2021,6,15319.2,95.22,27,6,2,2231624.4600000004,2000.0,1946.6666666666667,79.64999999999999
0,2500,100.4875,2022-09-21,2022,9,20000.0,103.01,21,2,3,2009750.0,2500.0,2493.478260869565,167.81249999999997
0,3000,0.0,2021-01-19,2021,1,13155.95,84.34,19,1,1,0.0,2500.0,2743.396226415094,167.60416666666666
2,1500,77.76666666666667,2021-12-06,2021,12,17436.76,101.81,6,0,4,1355998.7026666666,1200.0,2180.0,74.13333333333328
2,1500,0.0,2022-12-19,2022,12,20536.79,103.25,19,0,4,0.0,1500.0,1975.7142857142858,74.13333333333328
2,1500,0.06666666666666667,2022-03-21,2022,3,21496.5,101.81,21,0,1,1433.1,1500.0,1481.081081081081,25.944444444444425
0,2000,277.7375,2023-06-28,2023,6,20000.0,100.89,28,2,2,5554750.0,2000.0,2027.7777777777778,117.76249999999999
0,2000,160.4125,2021-05-29,2021,5,15295.14,91.12,29,5,2,2453531.6452499996,2000.0,1849.122807017544,157.975
0,2000,145.675,2021-06-06,2021,6,15319.2,95.22,6,6,2,2231624.4600000004,2000.0,1946.6666666666667,194.60833333333332
0,2000,145.675,2021-06-28,2021,6,15319.2,95.22,28,0,2,2231624.4600000004,2000.0,1946.6666666666667,150.58749999999998
